iter	Passed	Remaining
0	164	164754
1	174	87269
2	184	61225
3	194	48325
4	201	40051
5	210	34821
6	217	30867
7	225	27967
8	232	25556
9	239	23731
10	246	22183
11	253	20891
12	260	19770
13	267	18820
14	274	18014
15	281	17282
16	288	16666
17	294	16089
18	301	15590
19	308	15123
20	315	14704
21	322	14328
22	329	13992
23	336	13675
24	343	13407
25	352	13193
26	358	12925
27	366	12710
28	375	12572
29	385	12458
30	394	12335
31	404	12227
32	414	12144
33	425	12093
34	435	12015
35	446	11946
36	456	11870
37	465	11794
38	475	11705
39	484	11625
40	493	11534
41	502	11462
42	511	11391
43	522	11344
44	532	11298
45	542	11258
46	552	11205
47	564	11196
48	575	11165
49	585	11118
50	594	11059
51	603	10999
52	612	10940
53	621	10884
54	630	10826
55	639	10779
